
Histogram of unique 21-mers of sanger_newton_drMalDome6.R1

  Input: 5,040,376,329 unique 21-mers

     Freq:        Count   Cum. %
      584:        20633     0.2%
      583:        20911     0.2%
      582:        20973     0.2%
      581:        20791     0.2%
      580:        21298     0.2%
      579:        21314     0.2%
      578:        21427     0.2%
      577:        21139     0.2%
      576:        21465     0.2%
      575:        21767     0.2%
      574:        21805     0.2%
      573:        21899     0.2%
      572:        21982     0.2%
      571:        21992     0.2%
      570:        22318     0.2%
      569:        22093     0.2%
      568:        22234     0.2%
      567:        22779     0.2%
      566:        22882     0.2%
      565:        22753     0.2%
      564:        22707     0.2%
      563:        22778     0.2%
      562:        23016     0.2%
      561:        23252     0.2%
      560:        22901     0.2%
      559:        23481     0.2%
      558:        23432     0.2%
      557:        23553     0.2%
      556:        23650     0.2%
      555:        23848     0.2%
      554:        24277     0.2%
      553:        24042     0.2%
      552:        24078     0.2%
      551:        24036     0.2%
      550:        24096     0.2%
      549:        24464     0.2%
      548:        24251     0.2%
      547:        24628     0.2%
      546:        24700     0.2%
      545:        25024     0.2%
      544:        25051     0.2%
      543:        25032     0.2%
      542:        25118     0.2%
      541:        25119     0.2%
      540:        25556     0.2%
      539:        25615     0.2%
      538:        25424     0.2%
      537:        25809     0.2%
      536:        25720     0.2%
      535:        25814     0.2%
      534:        26168     0.2%
      533:        26477     0.2%
      532:        26399     0.2%
      531:        26371     0.2%
      530:        26677     0.2%
      529:        26616     0.2%
      528:        26944     0.2%
      527:        26576     0.2%
      526:        27022     0.2%
      525:        26895     0.2%
      524:        26706     0.2%
      523:        27205     0.2%
      522:        27198     0.2%
      521:        27464     0.2%
      520:        27780     0.2%
      519:        27756     0.2%
      518:        27578     0.2%
      517:        27955     0.2%
      516:        28053     0.2%
      515:        28558     0.2%
      514:        28793     0.2%
      513:        28420     0.2%
      512:        28267     0.2%
      511:        28623     0.2%
      510:        28559     0.2%
      509:        28700     0.2%
      508:        28790     0.2%
      507:        28828     0.2%
      506:        29090     0.2%
      505:        28981     0.2%
      504:        29271     0.2%
      503:        29127     0.2%
      502:        29345     0.2%
      501:        29277     0.2%
      500:        29566     0.2%
      499:        29703     0.2%
      498:        29766     0.2%
      497:        29706     0.2%
      496:        30070     0.2%
      495:        29871     0.2%
      494:        29993     0.2%
      493:        30397     0.2%
      492:        30634     0.2%
      491:        30580     0.2%
      490:        30603     0.2%
      489:        30793     0.2%
      488:        30645     0.2%
      487:        30954     0.2%
      486:        31311     0.2%
      485:        31356     0.2%
      484:        31398     0.2%
      483:        31711     0.2%
      482:        31868     0.2%
      481:        31767     0.2%
      480:        32046     0.2%
      479:        32278     0.2%
      478:        32428     0.3%
      477:        32527     0.3%
      476:        32800     0.3%
      475:        32625     0.3%
      474:        33012     0.3%
      473:        33190     0.3%
      472:        32939     0.3%
      471:        33078     0.3%
      470:        33418     0.3%
      469:        33605     0.3%
      468:        34064     0.3%
      467:        34041     0.3%
      466:        34164     0.3%
      465:        34806     0.3%
      464:        34421     0.3%
      463:        35044     0.3%
      462:        35572     0.3%
      461:        35470     0.3%
      460:        35802     0.3%
      459:        35854     0.3%
      458:        36339     0.3%
      457:        36265     0.3%
      456:        36139     0.3%
      455:        36589     0.3%
      454:        36824     0.3%
      453:        37095     0.3%
      452:        37398     0.3%
      451:        37589     0.3%
      450:        38186     0.3%
      449:        38198     0.3%
