source	specimen	id	read_pairs	yield	n50	kmer	haploid	repeat	het	apple_sp
illumina	drMalDome29	39617#30	360919358	54498823058	0	21	696591719	54.09	1.35	Malus_domestica
illumina	drMalDome29	39617#30	360919358	54498823058	0	31	691821003	44.16	1.25	Malus_domestica
hic-arima2	drMalDome5					31	982514284	68.98	0.66	Malus_domestica
10x	drMalDome5					31	726726919	45.93	1.32	Malus_domestica
10x	drMalDome5					21	747377638	56.69	1.4	Malus_domestica
10x	drMalDome5					31	739459714	47.8	1.32	Malus_domestica
pacbio	drMalDome5	84820	0	9393832520	12609	31	705432107	43.95	1.18	Malus_domestica
pacbio	drMalDome5	85267	0	9244682419	12402	31	705432107	43.95	1.18	Malus_domestica
pacbio	drMalDome5	84820	0	9393832520	12609	21	707790510	54.04	1.25	Malus_domestica
pacbio	drMalDome5	85267	0	9244682419	12402	21	707790510	54.04	1.25	Malus_domestica
pacbio	drMalDome5	84820	0	9393832520	12609	31	702958127	44.21	1.2	Malus_domestica
pacbio	drMalDome5	85267	0	9244682419	12402	31	702958127	44.21	1.2	Malus_domestica
illumina	drMalDome35	39617#24	370318248	55918055448	0	31	698189004	44.25	1.17	Malus_domestica
illumina	drMalDome35	39617#24	370318248	55918055448	0	21	702573940	54.43	1.28	Malus_domestica
illumina	drMalDome35	39617#24	370318248	55918055448	0	31	696956696	44.42	1.18	Malus_domestica
illumina	drMalDome40	39617#20	360283114	54402750214	0	31	678827585	42.56	1.12	Malus_domestica
illumina	drMalDome40	39617#20	360283114	54402750214	0	21	683244726	53.05	1.22	Malus_domestica
illumina	drMalDome40	39617#20	360283114	54402750214	0	31	677793142	42.71	1.12	Malus_domestica
illumina	drMalDome36	39617#17	364690374	55068246474	0	31	677507164	43.12	1.26	Malus_domestica
illumina	drMalDome36	39617#17	364690374	55068246474	0	21	681414008	53.37	1.38	Malus_domestica
illumina	drMalDome36	39617#17	364690374	55068246474	0	31	676032712	43.3	1.27	Malus_domestica
illumina	drMalSylv5	39617#6	317306324	47913254924	0	31	666435564	44.22	1.87	Malus_sylvestris
illumina	drMalSylv5	39617#6	317306324	47913254924	0	21	670470123	53.2	2.1	Malus_sylvestris
illumina	drMalSylv5	39617#6	317306324	47913254924	0	31	667954544	45.79	1.87	Malus_sylvestris
illumina	drMalSylv85	39617#53	326968558	49372252258	0	31	679022930	42.29	0.88	Malus_sylvestris
illumina	drMalSylv85	39617#53	326968558	49372252258	0	21	691207378	52.88	0.94	Malus_sylvestris
illumina	drMalSylv85	39617#53	326968558	49372252258	0	31	680592295	42.66	0.9	Malus_sylvestris
illumina	drMalSylv3	39617#8	350784052	52968391852	0	31	698139673	44.05	0.78	Malus_sylvestris
illumina	drMalSylv3	39617#8	350784052	52968391852	0	21	706305909	54.36	0.85	Malus_sylvestris
illumina	drMalSylv3	39617#8	350784052	52968391852	0	31	697910436	43.84	0.78	Malus_sylvestris
illumina	drMalSylv83	39617#51	343250180	51830777180	0	31	729894860	46.01	0.95	Malus_sylvestris
illumina	drMalSylv83	39617#51	343250180	51830777180	0	21	747987880	56.03	0.99	Malus_sylvestris
illumina	drMalSylv83	39617#51	343250180	51830777180	0	31	731779436	46.77	0.98	Malus_sylvestris
illumina	drMalSylv6	39617#5	384510502	58061085802	0	31	709726668	44.36	0.77	Malus_sylvestris
illumina	drMalSylv6	39617#5	384510502	58061085802	0	21	714792278	54.57	0.84	Malus_sylvestris
illumina	drMalSylv6	39617#5	384510502	58061085802	0	31	709850525	44.47	0.78	Malus_sylvestris
illumina	drMalSylv84	39617#52	398786138	60216706838	0	31	682640271	42.08	0.97	Malus_sylvestris
illumina	drMalSylv84	39617#52	398786138	60216706838	0	21	698114060	52.7	1.03	Malus_sylvestris
illumina	drMalSylv84	39617#52	398786138	60216706838	0	31	683495423	43.09	0.99	Malus_sylvestris
illumina	drMalSylv1	39617#9	291945370	44083750870	0	31	685645693	43.84	0.98	Malus_sylvestris
illumina	drMalSylv1	39617#9	291945370	44083750870	0	21	696819227	53.94	1.09	Malus_sylvestris
illumina	drMalSylv1	39617#9	291945370	44083750870	0	31	685642380	44.55	0.99	Malus_sylvestris
hic-arima2	drMalSylv7					31	1051940249	70.55	0.32	Malus_sylvestris
10x	drMalSylv7					31	753929234	47.41	0.94	Malus_sylvestris
10x	drMalSylv7					21	769337654	57.57	1.03	Malus_sylvestris
10x	drMalSylv7					31	760139296	48.32	0.96	Malus_sylvestris
pacbio	drMalSylv7	84821	0	11239599678	14410	31	717582920	44.88	0.88	Malus_sylvestris
pacbio	drMalSylv7	85267	0	7379265943	13916	31	717582920	44.88	0.88	Malus_sylvestris
pacbio	drMalSylv7	84821	0	11239599678	14410	21	717130205	54.96	0.97	Malus_sylvestris
pacbio	drMalSylv7	85267	0	7379265943	13916	21	717130205	54.96	0.97	Malus_sylvestris
pacbio	drMalSylv7	84821	0	11239599678	14410	31	713175580	45.55	0.97	Malus_sylvestris
pacbio	drMalSylv7	85267	0	7379265943	13916	31	713175580	45.55	0.97	Malus_sylvestris
illumina	drMalSylv82	39617#50	329641558	49775875258	0	31	1428122808	81.12	-0.27	Malus_sylvestris
illumina	drMalSylv82	39617#50	329641558	49775875258	0	21	747477646	53.78	0.87	Malus_sylvestris
illumina	drMalSylv82	39617#50	329641558	49775875258	0	31	714721555	45	1.07	Malus_sylvestris
illumina	drMalSylv4	39617#7	331976786	50128494686	0	31	698315473	44.41	1.03	Malus_sylvestris
illumina	drMalSylv4	39617#7	331976786	50128494686	0	21	706865018	54.54	1.13	Malus_sylvestris
illumina	drMalSylv4	39617#7	331976786	50128494686	0	31	699389679	44.75	1.04	Malus_sylvestris
illumina	drMalSylv80	39617#49	372311026	56218964926	0	31	676926733	42.63	1.02	Malus_sylvestris
illumina	drMalSylv80	39617#49	372311026	56218964926	0	21	681553506	53.08	1.11	Malus_sylvestris
illumina	drMalSylv80	39617#49	372311026	56218964926	0	31	675823235	42.65	1.02	Malus_sylvestris
illumina	drMalRobu1	39617#40	376093964	56790188564	0	31	638900201	41.02	1.99	Malus_x_robusta
illumina	drMalRobu1	39617#40	376093964	56790188564	0	21	642039767	51.76	2.14	Malus_x_robusta
